norm,budget_x255,ap50,precision,recall,f1,fp_per_frame,dets_per_frame,ap50_drop,images,steps
clean,0,0.57322,0.67291,0.66723,0.67006,1.92,5.87,0,100,0
linf,0.25,0.23448,0.30571,0.46115,0.36768,6.2,8.93,0.33874,100,10
linf,0.5,0.04639,0.12381,0.28547,0.17271,11.96,13.65,0.52682,100,10
linf,1.0,0.00222,0.02007,0.07432,0.03161,21.48,21.92,0.57099,100,10
linf,2.0,4e-05,0.002,0.01014,0.00335,29.88,29.94,0.57318,100,10
linf,4.0,0.0,0.0,0.0,0.0,37.15,37.15,0.57322,100,10
linf,8.0,0.0,0.0,0.0,0.0,41.81,41.81,0.57322,100,10
l2,0.0625,0.23389,0.38075,0.44764,0.41149,4.31,6.96,0.33933,100,10
l2,0.125,0.09835,0.21682,0.30912,0.25487,6.61,8.44,0.47486,100,10
l2,0.25,0.01343,0.0789,0.15034,0.10349,10.39,11.28,0.55978,100,10
l2,0.5,0.00202,0.02479,0.06419,0.03576,14.95,15.33,0.57119,100,10
l2,1.0,9e-05,0.00403,0.01351,0.0062,19.79,19.87,0.57313,100,10
l2,2.0,4e-05,0.0004,0.00169,0.00065,24.73,24.74,0.57317,100,10
l1,0.03125,0.0247,0.11973,0.18243,0.14458,7.94,9.02,0.54852,100,10
l1,0.0625,0.00921,0.06526,0.11993,0.08452,10.17,10.88,0.56401,100,10
l1,0.125,0.0033,0.03595,0.07432,0.04846,11.8,12.24,0.56992,100,10
l1,0.25,0.00087,0.01542,0.03716,0.02179,14.05,14.27,0.57234,100,10
l1,0.5,0.00019,0.00551,0.0152,0.00809,16.23,16.32,0.57303,100,10
l1,1.0,1e-05,0.00106,0.00338,0.00162,18.81,18.83,0.57321,100,10
