norm,budget_x255,ap50,precision,recall,f1,fp_per_frame,dets_per_frame,ap50_drop,images,steps
clean,0,0.57322,0.67291,0.66723,0.67006,1.92,5.87,0,100,0
l1,0.00391,0.34733,0.52614,0.54392,0.53488,2.9,6.12,0.22588,100,10
l1,0.00781,0.23425,0.39312,0.44426,0.41713,4.06,6.69,0.33897,100,10
l1,0.01562,0.07924,0.24597,0.30912,0.27395,5.61,7.44,0.49397,100,10
l1,0.03125,0.02219,0.11538,0.17736,0.13981,8.05,9.1,0.55103,100,10
l1,0.0625,0.00973,0.07115,0.12331,0.09023,9.53,10.26,0.56348,100,10
l1,0.125,0.00289,0.03263,0.06757,0.044,11.86,12.26,0.57032,100,10
l1,0.25,0.00131,0.01942,0.04561,0.02725,13.63,13.9,0.57191,100,10
l1,0.5,9e-05,0.00411,0.01182,0.0061,16.97,17.04,0.57312,100,10
l1,1.0,1e-05,0.00106,0.00338,0.00161,18.84,18.86,0.57321,100,10
