# started 2026-09-25T15:30:08
# cmd: scripts/calibrate_budgets.py --config configs/nuscenes/train_baseline.yaml --ckpt checkpoints/nuscenes_baseline_s0.pth
logging to E:\SARE — Sponge Attack for Resource-aware Edge AI\results\logs\calibrate_nuscenes_baseline_s0_20260925_153008.log
norm  budget(x/255)    AP50      P      R     F1  FP/frm det/frm    drop
clean        0.0000  0.5732  0.673  0.667  0.670    1.92    5.87  0.0000
linf         0.2500  0.2345  0.306  0.461  0.368    6.20    8.93  0.3387
linf         0.5000  0.0464  0.124  0.285  0.173   11.96   13.65  0.5268
linf         1.0000  0.0022  0.020  0.074  0.032   21.48   21.92  0.5710
linf         2.0000  0.0000  0.002  0.010  0.003   29.88   29.94  0.5732
linf         4.0000  0.0000  0.000  0.000  0.000   37.15   37.15  0.5732
linf         8.0000  0.0000  0.000  0.000  0.000   41.81   41.81  0.5732
l2           0.0625  0.2339  0.381  0.448  0.411    4.31    6.96  0.3393
l2           0.1250  0.0984  0.217  0.309  0.255    6.61    8.44  0.4749
l2           0.2500  0.0134  0.079  0.150  0.103   10.39   11.28  0.5598
l2           0.5000  0.0020  0.025  0.064  0.036   14.95   15.33  0.5712
l2           1.0000  0.0001  0.004  0.014  0.006   19.79   19.87  0.5731
l2           2.0000  0.0000  0.000  0.002  0.001   24.73   24.74  0.5732
l1           0.0312  0.0247  0.120  0.182  0.145    7.94    9.02  0.5485
l1           0.0625  0.0092  0.065  0.120  0.085   10.17   10.88  0.5640
l1           0.1250  0.0033  0.036  0.074  0.048   11.80   12.24  0.5699
l1           0.2500  0.0009  0.015  0.037  0.022   14.05   14.27  0.5723
l1           0.5000  0.0002  0.006  0.015  0.008   16.23   16.32  0.5730
l1           1.0000  0.0000  0.001  0.003  0.002   18.81   18.83  0.5732

table saved to E:\SARE — Sponge Attack for Resource-aware Edge AI\results\calibration\nuscenes_baseline_s0.csv
Send this table back: budgets are matched at the L_inf eps where AP50 is ~half of clean.
